PLAYER,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TEAM,GAME_ID
Al Horford,29:57,4,7,.571,0,1,.000,1,1,1.000,0,4,4,2,0,4,3,1,9,+9,BOS,0
Kyrie Irving,29:00,2,14,.143,1,8,.125,2,2,1.000,0,4,4,7,0,0,3,1,7,+9,BOS,0
Jayson Tatum,28:56,9,17,.529,1,5,.200,4,5,.800,2,7,9,3,1,0,1,2,23,+6,BOS,0
Jaylen Brown,28:23,5,13,.385,1,3,.333,1,2,.500,3,2,5,2,0,0,2,4,12,+11,BOS,0
Gordon Hayward,24:37,4,12,.333,1,3,.333,1,2,.500,2,3,5,0,4,0,0,1,10,+10,BOS,0
Terry Rozier,26:31,5,10,.500,1,2,.500,0,0,,0,8,8,1,0,1,1,0,11,+22,BOS,0
Marcus Smart,25:01,2,4,.500,2,4,.500,1,2,.500,0,3,3,3,0,0,2,2,7,+3,BOS,0
Marcus Morris,20:30,7,12,.583,2,7,.286,0,0,,2,8,10,0,2,0,1,5,16,+3,BOS,0
Aron Baynes,19:14,3,7,.429,2,4,.500,0,0,,3,1,4,3,0,0,1,3,8,+8,BOS,0
Daniel Theis,4:08,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+3,BOS,0
Semi Ojeleye,1:27,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+2,BOS,0
Guerschon Yabusele,1:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2,BOS,0
Brad Wanamaker,0:49,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+2,BOS,0
Ben Simmons,42:45,7,14,.500,0,0,,5,10,.500,3,12,15,8,4,2,3,5,19,-8,PHI,0
Joel Embiid,36:49,9,21,.429,1,4,.250,4,5,.800,2,8,10,2,1,2,5,3,23,-8,PHI,0
Robert Covington,34:12,3,10,.300,2,7,.286,0,0,,1,5,6,0,2,1,2,1,8,-9,PHI,0
Markelle Fultz,24:20,2,7,.286,0,0,,1,2,.500,0,3,3,2,1,0,3,1,5,-16,PHI,0
Dario Šarić,22:55,3,8,.375,0,4,.000,0,0,,0,6,6,1,0,0,3,5,6,-6,PHI,0
J.J. Redick,29:46,7,17,.412,2,8,.250,0,0,,0,2,2,1,0,0,0,1,16,-10,PHI,0
T.J. McConnell,22:26,2,5,.400,0,1,.000,0,0,,0,1,1,3,0,0,0,3,4,-11,PHI,0
Landry Shamet,12:42,0,4,.000,0,2,.000,1,2,.500,0,1,1,0,0,0,0,0,1,-8,PHI,0
Amir Johnson,11:11,1,1,1.000,0,0,,3,4,.750,0,3,3,1,0,0,0,1,5,-10,PHI,0
Jonah Bolden,1:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,PHI,0
Furkan Korkmaz,1:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,PHI,0
Shake Milton,Did Not Play,,,,,,,,,,,,,,,,,,,,PHI,0
Demetrius Jackson,Did Not Play,,,,,,,,,,,,,,,,,,,,PHI,0
Kevin Durant,37:43,9,21,.429,0,5,.000,9,10,.900,1,7,8,6,1,1,3,4,27,+14,GSW,1
Stephen Curry,36:37,11,20,.550,5,9,.556,5,5,1.000,0,8,8,9,1,0,3,4,32,+15,GSW,1
Klay Thompson,34:59,5,20,.250,1,8,.125,3,3,1.000,1,3,4,0,0,0,2,3,14,+2,GSW,1
Draymond Green,32:45,1,6,.167,0,1,.000,0,0,,1,12,13,5,3,0,6,3,2,+2,GSW,1
Damian Jones,26:33,6,7,.857,0,0,,0,0,,2,1,3,2,0,3,2,4,12,-1,GSW,1
Kevon Looney,18:04,5,11,.455,0,0,,0,0,,8,2,10,2,1,2,1,4,10,+23,GSW,1
Shaun Livingston,14:34,3,5,.600,0,0,,0,0,,2,1,3,1,1,0,1,2,6,-3,GSW,1
Quinn Cook,13:12,1,2,.500,1,1,1.000,0,0,,1,1,2,1,0,0,2,2,3,-7,GSW,1
Andre Iguodala,10:23,1,2,.500,0,1,.000,0,0,,0,2,2,2,0,0,0,0,2,+2,GSW,1
Jordan Bell,6:39,0,0,,0,0,,0,0,,1,1,2,0,0,1,0,1,0,-6,GSW,1
Jonas Jerebko,6:10,0,0,,0,0,,0,0,,0,3,3,0,0,0,1,2,0,0,GSW,1
Alfonzo McKinnie,2:21,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1,GSW,1
Jacob Evans,Did Not Play,,,,,,,,,,,,,,,,,,,,GSW,1
Paul George,37:24,9,23,.391,4,12,.333,5,8,.625,0,2,2,5,4,0,5,3,27,-16,OKC,1
Steven Adams,35:36,6,12,.500,0,0,,5,8,.625,4,7,11,4,2,0,2,3,17,-6,OKC,1
Dennis Schröder,34:05,7,19,.368,2,6,.333,5,6,.833,2,6,8,6,3,1,3,4,21,-7,OKC,1
Terrance Ferguson,26:31,0,2,.000,0,2,.000,0,0,,2,2,4,1,0,0,1,3,0,0,OKC,1
Patrick Patterson,18:53,2,9,.222,1,4,.250,2,3,.667,3,2,5,0,1,1,1,0,7,+3,OKC,1
Jerami Grant,29:07,2,7,.286,1,4,.250,2,4,.500,2,0,2,2,0,3,0,1,7,-11,OKC,1
Álex Abrines,23:28,3,8,.375,2,6,.333,0,0,,0,2,2,0,0,0,0,2,8,-5,OKC,1
Raymond Felton,13:55,1,5,.200,0,3,.000,4,5,.800,0,3,3,1,0,0,2,0,6,-1,OKC,1
Nerlens Noel,12:24,1,2,.500,0,0,,1,2,.500,3,4,7,1,1,1,0,3,3,-2,OKC,1
Hamidou Diallo,8:37,2,4,.500,0,0,,0,1,.000,0,1,1,1,1,0,0,2,4,+5,OKC,1
Abdel Nader,Did Not Play,,,,,,,,,,,,,,,,,,,,OKC,1
Deonte Burton,Did Not Play,,,,,,,,,,,,,,,,,,,,OKC,1
Timothé Luwawu-Cabarrot,Did Not Play,,,,,,,,,,,,,,,,,,,,OKC,1
Kemba Walker,38:39,15,29,.517,7,13,.538,4,5,.800,1,1,2,4,2,0,3,0,41,-1,CHO,2
Nicolas Batum,31:49,2,8,.250,1,4,.250,0,0,,1,6,7,3,2,2,2,1,5,-4,CHO,2
Marvin Williams,25:51,2,7,.286,1,6,.167,0,2,.000,1,8,9,1,0,4,1,2,5,-4,CHO,2
Cody Zeller,21:06,1,1,1.000,1,1,1.000,2,2,1.000,0,3,3,1,1,0,0,3,5,-11,CHO,2
Jeremy Lamb,20:48,4,11,.364,2,4,.500,0,0,,2,0,2,1,1,0,0,2,10,-6,CHO,2
Malik Monk,33:35,7,16,.438,4,8,.500,0,0,,0,4,4,2,1,2,0,1,18,+5,CHO,2
Michael Kidd-Gilchrist,21:38,3,6,.500,0,0,,4,6,.667,3,3,6,1,0,1,1,3,10,+3,CHO,2
Tony Parker,19:48,4,8,.500,0,0,,0,0,,0,3,3,7,0,0,2,2,8,+5,CHO,2
Miles Bridges,14:30,0,1,.000,0,1,.000,1,2,.500,0,0,0,1,0,0,1,2,1,+6,CHO,2
Willy Hernangómez,12:16,3,5,.600,0,1,.000,3,5,.600,1,4,5,0,1,0,1,3,9,+2,CHO,2
Dwayne Bacon,Did Not Play,,,,,,,,,,,,,,,,,,,,CHO,2
Bismack Biyombo,Did Not Play,,,,,,,,,,,,,,,,,,,,CHO,2
Frank Kaminsky,Did Not Play,,,,,,,,,,,,,,,,,,,,CHO,2
Malcolm Brogdon,38:01,4,9,.444,2,6,.333,0,0,,0,3,3,6,1,0,4,3,10,+1,MIL,2
Giannis Antetokounmpo,34:46,9,21,.429,0,3,.000,7,12,.583,3,15,18,8,0,1,8,5,25,+11,MIL,2
Eric Bledsoe,33:32,7,13,.538,3,5,.600,0,0,,2,2,4,3,0,1,2,4,17,+4,MIL,2
