,Date,Start (ET),Visitor/Neutral,Visitor Points,Home/Neutral,Home Points, , ,Attend.,Notes
0,"Tue, Oct 28, 2014",8:00p,Orlando Magic,84,New Orleans Pelicans,101,Box Score,,"17,097",
1,"Tue, Oct 28, 2014",8:00p,Dallas Mavericks,100,San Antonio Spurs,101,Box Score,,"19,615",
2,"Tue, Oct 28, 2014",10:30p,Houston Rockets,108,Los Angeles Lakers,90,Box Score,,"18,997",
3,"Wed, Oct 29, 2014",7:00p,Milwaukee Bucks,106,Charlotte Hornets,108,Box Score,OT,"19,439",
4,"Wed, Oct 29, 2014",7:00p,Philadelphia 76ers,91,Indiana Pacers,103,Box Score,,"18,165",
5,"Wed, Oct 29, 2014",7:30p,Atlanta Hawks,102,Toronto Raptors,109,Box Score,,"19,800",
6,"Wed, Oct 29, 2014",7:30p,Washington Wizards,95,Miami Heat,107,Box Score,,"19,744",
7,"Wed, Oct 29, 2014",7:30p,Brooklyn Nets,105,Boston Celtics,121,Box Score,,"18,624",
8,"Wed, Oct 29, 2014",8:00p,Chicago Bulls,104,New York Knicks,80,Box Score,,"19,812",
9,"Wed, Oct 29, 2014",8:00p,Minnesota Timberwolves,101,Memphis Grizzlies,105,Box Score,,"17,731",
10,"Wed, Oct 29, 2014",9:00p,Detroit Pistons,79,Denver Nuggets,89,Box Score,,"17,136",
11,"Wed, Oct 29, 2014",9:00p,Houston Rockets,104,Utah Jazz,93,Box Score,,"19,911",
12,"Wed, Oct 29, 2014",10:00p,Los Angeles Lakers,99,Phoenix Suns,119,Box Score,,"17,523",
13,"Wed, Oct 29, 2014",10:00p,Golden State Warriors,95,Sacramento Kings,77,Box Score,,"17,317",
14,"Wed, Oct 29, 2014",10:30p,Oklahoma City Thunder,89,Portland Trail Blazers,106,Box Score,,"19,441",
15,"Thu, Oct 30, 2014",7:00p,Washington Wizards,105,Orlando Magic,98,Box Score,,"18,846",
16,"Thu, Oct 30, 2014",8:00p,New York Knicks,95,Cleveland Cavaliers,90,Box Score,,"20,562",
17,"Thu, Oct 30, 2014",8:00p,Detroit Pistons,91,Minnesota Timberwolves,97,Box Score,,"18,296",
18,"Thu, Oct 30, 2014",8:30p,Utah Jazz,102,Dallas Mavericks,120,Box Score,,"19,697",
19,"Thu, Oct 30, 2014",10:30p,Oklahoma City Thunder,90,Los Angeles Clippers,93,Box Score,,"19,060",
20,"Fri, Oct 31, 2014",7:00p,Memphis Grizzlies,97,Indiana Pacers,89,Box Score,,"14,441",
21,"Fri, Oct 31, 2014",8:00p,Cleveland Cavaliers,114,Chicago Bulls,108,Box Score,OT,"22,879",
22,"Fri, Oct 31, 2014",8:30p,Philadelphia 76ers,81,Milwaukee Bucks,93,Box Score,,"18,717",
23,"Fri, Oct 31, 2014",10:00p,San Antonio Spurs,89,Phoenix Suns,94,Box Score,,"15,050",
24,"Fri, Oct 31, 2014",10:00p,Portland Trail Blazers,94,Sacramento Kings,103,Box Score,,"14,648",
25,"Fri, Oct 31, 2014",10:30p,Los Angeles Clippers,118,Los Angeles Lakers,111,Box Score,,"18,997",
26,"Sat, Nov 1, 2014",7:00p,Memphis Grizzlies,71,Charlotte Hornets,69,Box Score,,"18,133",
27,"Sat, Nov 1, 2014",7:00p,Dallas Mavericks,109,New Orleans Pelicans,104,Box Score,,"14,547",
28,"Sat, Nov 1, 2014",7:00p,Toronto Raptors,108,Orlando Magic,95,Box Score,,"16,141",
29,"Sat, Nov 1, 2014",7:00p,Miami Heat,114,Philadelphia 76ers,96,Box Score,,"19,753",
30,"Sat, Nov 1, 2014",7:00p,Milwaukee Bucks,97,Washington Wizards,108,Box Score,,"17,992",
31,"Sat, Nov 1, 2014",7:30p,Indiana Pacers,92,Atlanta Hawks,102,Box Score,,"19,118",
32,"Sat, Nov 1, 2014",7:30p,Brooklyn Nets,102,Detroit Pistons,90,Box Score,,"19,904",
33,"Sat, Nov 1, 2014",8:00p,Boston Celtics,90,Houston Rockets,104,Box Score,,"18,309",
34,"Sat, Nov 1, 2014",8:00p,Chicago Bulls,106,Minnesota Timberwolves,105,Box Score,,"19,356",
35,"Sat, Nov 1, 2014",8:00p,Denver Nuggets,91,Oklahoma City Thunder,102,Box Score,,"18,203",
36,"Sat, Nov 1, 2014",9:00p,Phoenix Suns,91,Utah Jazz,118,Box Score,,"17,721",
37,"Sat, Nov 1, 2014",10:30p,Los Angeles Lakers,104,Golden State Warriors,127,Box Score,,"19,596",
38,"Sun, Nov 2, 2014",3:30p,Sacramento Kings,98,Los Angeles Clippers,92,Box Score,,"19,060",
39,"Sun, Nov 2, 2014",6:00p,Toronto Raptors,102,Miami Heat,107,Box Score,,"19,666",
40,"Sun, Nov 2, 2014",7:30p,Charlotte Hornets,93,New York Knicks,96,Box Score,,"19,812",
41,"Sun, Nov 2, 2014",9:00p,Golden State Warriors,95,Portland Trail Blazers,90,Box Score,,"19,441",
